distance_client_restaurant_km,distance_rider_restaurant_km,est_prep_time_min,traffic_intensity,avg_vehicle_speed_kmh,is_festive_day,order_load_ratio,time_of_day_interval,weather,historical_pred_time_min
0.804,2.421,24.9,8,15.1,0,0.267,08:00-09:59,1,44.0
5.18,3.863,16.6,3,26.0,0,0.397,00:00-01:59,0,50.3
1.692,4.422,12.5,6,20.3,0,0.332,22:00-23:59,0,49.7
2.95,3.169,26.7,6,20.7,0,0.507,18:00-19:59,1,58.6
3.309,2.367,24.4,9,10.4,0,0.554,10:00-11:59,1,63.2
2.37,2.645,19.0,5,23.2,0,0.549,22:00-23:59,1,38.0
5.257,2.76,23.4,7,15.7,0,0.693,16:00-17:59,1,62.8
1.766,3.249,21.4,4,24.7,0,0.485,00:00-01:59,1,35.4
2.674,1.59,29.2,3,32.6,0,0.485,20:00-21:59,1,37.1
1.427,1.101,17.7,1,35.1,0,0.381,20:00-21:59,1,14.3
3.368,3.984,25.8,7,13.9,0,0.426,18:00-19:59,1,61.6
1.249,4.421,30.1,4,28.4,1,0.279,22:00-23:59,1,58.6
4.435,3.543,18.4,4,28.9,0,0.313,22:00-23:59,0,47.2
3.916,4.204,28.4,3,19.4,1,0.672,04:00-05:59,0,67.3
2.631,4.129,28.0,4,30.4,0,0.58,22:00-23:59,1,41.9
3.024,4.351,27.5,3,20.5,0,0.093,12:00-13:59,0,63.1
3.737,3.06,29.6,3,26.7,0,0.326,06:00-07:59,1,51.5
1.424,2.653,20.7,7,17.8,0,0.6,16:00-17:59,0,46.4
3.177,3.199,22.5,4,20.6,0,0.492,04:00-05:59,1,49.4
2.746,3.126,28.7,9,11.5,0,0.625,08:00-09:59,1,75.3
5.282,3.173,27.8,4,31.9,0,0.397,04:00-05:59,1,50.6
2.892,2.873,33.4,4,25.4,0,0.521,12:00-13:59,1,50.2
2.697,3.552,28.3,8,9.5,0,0.538,08:00-09:59,0,85.8
4.627,4.275,22.8,7,25.1,0,0.48,16:00-17:59,1,51.8
1.592,2.569,29.7,4,28.3,0,0.571,12:00-13:59,1,43.7
1.03,5.023,9.8,5,26.9,0,0.246,02:00-03:59,1,25.3
4.519,2.785,26.4,6,26.2,0,0.317,06:00-07:59,1,58.2
0.897,2.523,29.5,7,24.4,0,0.562,16:00-17:59,1,44.2
1.046,3.054,23.7,5,18.8,0,0.369,22:00-23:59,0,48.6
1.604,4.324,19.7,7,19.2,0,0.356,02:00-03:59,1,33.4
3.761,2.761,19.1,9,17.6,0,0.628,18:00-19:59,1,52.0
1.909,3.524,31.2,7,18.3,0,0.571,16:00-17:59,1,57.8
2.6,3.652,31.2,10,6.3,0,0.636,18:00-19:59,0,101.5
1.138,2.917,8.9,9,18.3,0,0.326,08:00-09:59,1,22.8
3.25,2.145,31.0,4,25.1,0,0.491,02:00-03:59,1,45.4
1.953,2.821,20.0,4,26.3,1,0.328,06:00-07:59,1,39.1
4.279,4.24,25.5,5,13.9,0,0.382,22:00-23:59,0,71.2
2.357,3.376,28.4,5,23.3,0,0.522,22:00-23:59,0,53.0
4.214,3.396,22.9,5,18.4,0,0.205,12:00-13:59,1,54.5
5.238,4.459,13.6,7,23.6,0,0.621,22:00-23:59,0,52.8
2.141,1.981,22.5,5,22.6,0,0.621,14:00-15:59,1,35.3
1.985,1.823,30.6,5,15.5,0,0.458,04:00-05:59,1,51.4
6.586,2.823,21.5,5,22.7,0,0.475,00:00-01:59,1,50.4
3.099,1.866,18.8,6,23.2,0,0.624,06:00-07:59,1,31.0
2.351,3.201,27.9,6,18.2,0,0.297,02:00-03:59,0,57.6
0.555,0.444,22.4,4,23.8,0,0.723,14:00-15:59,1,35.4
2.367,3.769,25.7,5,15.7,0,0.557,06:00-07:59,0,59.1
3.986,4.081,27.1,6,23.8,0,0.37,02:00-03:59,0,58.3
5.21,2.962,31.0,8,8.6,0,0.763,10:00-11:59,0,112.4
1.194,6.249,21.8,7,16.6,0,0.34,10:00-11:59,1,59.3
2.434,2.748,19.7,6,18.8,0,0.763,18:00-19:59,1,41.1
2.547,2.783,25.1,7,20.5,0,0.623,06:00-07:59,1,42.0
3.421,5.533,15.3,7,20.1,0,0.443,10:00-11:59,0,51.5
4.974,3.833,13.3,5,28.2,0,0.217,02:00-03:59,1,37.6
5.08,4.578,23.7,7,19.0,0,0.281,18:00-19:59,0,76.2
1.497,4.116,38.3,3,30.5,0,0.478,22:00-23:59,0,58.9
1.703,3.987,21.8,5,19.3,0,0.249,02:00-03:59,1,47.7
1.552,3.453,40.2,9,13.9,0,0.676,18:00-19:59,1,70.3
1.117,3.113,13.2,3,29.4,0,0.078,06:00-07:59,1,18.8
2.498,1.75,19.3,5,25.7,0,0.68,14:00-15:59,1,34.0
4.154,3.255,31.4,7,17.8,0,0.521,12:00-13:59,0,62.8
2.339,3.421,26.7,7,20.5,0,0.561,22:00-23:59,1,48.7
0.902,4.323,21.5,7,15.9,0,0.236,16:00-17:59,1,37.8
1.457,4.212,14.7,5,11.8,0,0.219,14:00-15:59,0,47.1
1.172,3.159,21.2,7,17.0,0,0.62,08:00-09:59,1,41.3
1.689,3.95,29.2,5,26.3,0,0.705,02:00-03:59,1,51.1
2.199,3.098,13.3,7,23.2,0,0.441,08:00-09:59,1,36.9
2.926,4.305,22.4,5,24.2,0,0.407,14:00-15:59,1,54.2
4.579,2.267,44.9,7,22.1,0,0.507,18:00-19:59,1,75.8
2.245,2.797,14.5,6,18.9,0,0.502,16:00-17:59,1,35.4
1.804,3.088,21.2,5,23.6,0,0.414,22:00-23:59,1,44.2
8.564,1.935,19.7,3,28.5,0,0.558,22:00-23:59,1,59.0
2.998,2.437,24.4,4,18.8,0,0.4,22:00-23:59,0,53.1
2.779,4.017,27.7,7,23.4,0,0.518,16:00-17:59,1,56.5
1.182,3.904,28.9,4,17.6,0,0.454,00:00-01:59,0,64.8
0.557,2.173,38.3,6,22.8,1,0.688,16:00-17:59,1,52.1
0.806,2.598,22.9,6,19.5,0,0.427,12:00-13:59,0,44.3
1.783,0.903,20.2,6,20.6,0,0.628,16:00-17:59,1,35.8
0.945,2.476,17.1,4,19.7,0,0.497,14:00-15:59,0,34.7
2.721,3.672,17.6,6,17.5,0,0.396,00:00-01:59,0,60.5
4.117,3.081,25.7,5,23.6,1,0.73,22:00-23:59,0,60.9
3.16,3.381,23.2,4,27.4,0,0.594,14:00-15:59,1,39.7
3.8,4.0,24.2,6,23.0,0,0.432,14:00-15:59,1,63.6
2.613,1.357,28.6,5,25.3,0,0.463,20:00-21:59,1,52.2
1.114,2.427,22.5,6,16.0,0,0.422,04:00-05:59,1,42.4
1.596,2.395,30.4,2,28.8,1,0.506,00:00-01:59,1,46.9
2.71,2.254,27.2,1,35.1,1,0.359,14:00-15:59,1,37.6
1.875,4.316,23.1,5,28.8,0,0.355,04:00-05:59,1,39.9
1.298,4.144,15.3,5,24.6,0,0.24,04:00-05:59,0,38.6
3.383,3.071,31.3,5,23.8,0,0.557,00:00-01:59,0,62.0
4.013,2.245,33.2,5,22.6,0,0.644,20:00-21:59,1,53.1
3.226,2.276,29.5,9,8.7,0,0.727,08:00-09:59,1,76.9
2.134,4.218,23.9,7,16.4,0,0.363,18:00-19:59,0,62.6
5.845,3.257,39.0,5,30.2,1,0.392,12:00-13:59,1,69.8
1.485,3.497,23.6,7,16.3,0,0.627,18:00-19:59,0,61.7
1.474,3.807,18.3,8,19.2,0,0.39,16:00-17:59,1,39.0
1.459,2.076,21.5,5,27.7,0,0.794,22:00-23:59,1,35.8
4.551,2.099,29.5,2,30.0,1,0.529,12:00-13:59,1,58.4
0.621,3.355,30.6,8,11.2,0,0.516,16:00-17:59,1,56.3
0.758,1.853,22.6,3,19.7,0,0.541,14:00-15:59,1,41.5
3.639,4.441,23.5,3,28.4,0,0.241,22:00-23:59,0,60.4
5.82,2.861,12.0,5,23.8,0,0.186,02:00-03:59,1,35.8
3.796,4.407,25.6,4,25.1,1,0.493,00:00-01:59,1,62.0
2.091,4.038,26.5,2,20.7,0,0.278,12:00-13:59,1,50.9
3.487,3.147,27.8,4,26.2,0,0.68,12:00-13:59,1,44.4
1.675,3.123,34.0,4,12.6,0,0.54,14:00-15:59,0,71.3
6.397,1.511,26.2,8,13.8,0,0.57,08:00-09:59,1,67.7
3.016,4.826,37.1,6,19.0,0,0.615,04:00-05:59,0,75.3
3.067,3.517,33.6,4,25.4,0,0.309,22:00-23:59,0,54.3
1.274,2.887,24.9,1,32.2,0,0.398,14:00-15:59,1,40.6
5.639,3.003,43.9,7,16.3,1,0.467,10:00-11:59,1,92.4
1.141,2.327,18.2,5,20.9,0,0.392,20:00-21:59,1,40.4
8.453,3.049,15.0,3,27.8,0,0.263,04:00-05:59,1,47.2
2.787,2.606,31.9,3,30.4,0,0.243,00:00-01:59,1,51.3
3.665,3.753,25.4,2,27.0,1,0.27,04:00-05:59,1,47.3
2.686,2.351,20.4,7,21.0,0,0.789,08:00-09:59,1,48.0
2.588,3.271,22.4,5,25.4,0,0.332,04:00-05:59,1,48.3
2.023,2.292,24.0,5,22.7,0,0.679,00:00-01:59,0,47.6
1.294,3.144,29.7,8,12.2,0,0.454,08:00-09:59,1,62.5
3.064,3.074,29.0,5,20.5,0,0.333,18:00-19:59,1,55.2
4.008,2.253,30.1,2,24.6,1,0.516,12:00-13:59,1,56.1
2.43,5.371,25.9,5,20.2,1,0.159,12:00-13:59,0,64.9
1.926,2.193,26.1,2,36.6,1,0.139,20:00-21:59,1,40.8
2.156,1.863,26.3,6,28.2,0,0.516,16:00-17:59,1,49.7
2.202,1.944,37.2,7,18.7,1,0.679,18:00-19:59,1,64.5
1.287,2.966,36.2,4,21.3,1,0.587,18:00-19:59,1,53.4
2.274,4.039,31.7,2,25.5,1,0.552,22:00-23:59,1,57.5
3.766,1.078,31.5,5,17.0,0,0.657,04:00-05:59,1,55.3
4.499,2.531,30.2,2,26.5,0,0.589,12:00-13:59,1,45.1
5.372,3.85,15.9,4,19.0,0,0.572,00:00-01:59,0,48.2
3.105,4.21,17.4,4,25.8,1,0.437,06:00-07:59,1,46.2
3.684,1.71,18.6,3,27.6,0,0.403,06:00-07:59,1,38.3
2.603,2.736,27.2,9,19.7,0,0.541,08:00-09:59,0,66.1
4.996,4.155,21.3,3,22.5,1,0.27,12:00-13:59,1,54.5
2.377,4.155,20.4,5,15.0,0,0.462,12:00-13:59,0,62.3
3.374,1.911,17.6,2,31.3,0,0.569,20:00-21:59,1,42.3
1.946,1.691,24.8,3,29.4,1,0.56,06:00-07:59,1,42.6
2.223,2.349,35.0,1,35.4,1,0.349,12:00-13:59,1,49.0
1.62,3.606,14.1,3,29.8,0,0.456,20:00-21:59,0,28.8
4.689,3.297,30.6,4,17.7,1,0.312,04:00-05:59,0,75.1
3.63,4.77,18.2,8,16.1,0,0.264,10:00-11:59,0,53.4
1.823,3.909,27.0,3,28.0,0,0.404,22:00-23:59,0,49.9
2.512,2.615,27.2,4,27.6,0,0.526,02:00-03:59,1,39.0
0.943,2.893,28.4,8,20.4,0,0.519,18:00-19:59,1,45.6
9.646,3.647,25.8,7,18.8,0,0.703,16:00-17:59,1,80.0
2.621,2.977,14.0,7,12.6,0,0.242,08:00-09:59,1,50.1
1.472,1.752,27.0,6,23.6,1,0.616,10:00-11:59,1,47.8
2.504,2.366,27.5,5,24.2,0,0.625,22:00-23:59,1,51.2
1.304,4.034,26.3,4,26.3,1,0.316,22:00-23:59,0,55.1
6.333,3.308,23.5,5,23.2,0,0.502,22:00-23:59,1,47.1
9.211,2.781,10.7,5,13.2,0,0.371,22:00-23:59,0,87.8
1.262,3.019,24.3,2,35.0,1,0.66,06:00-07:59,1,34.5
4.644,3.039,23.2,4,18.6,1,0.381,20:00-21:59,0,64.5
1.813,2.22,21.3,5,26.8,0,0.77,18:00-19:59,1,36.6
5.331,3.045,9.9,5,22.0,0,0.479,12:00-13:59,1,37.5
2.44,4.641,22.0,7,14.6,0,0.464,22:00-23:59,0,65.6
2.565,4.436,23.7,7,19.5,0,0.503,16:00-17:59,1,46.1
6.46,1.92,34.1,4,25.0,1,0.422,12:00-13:59,0,68.4
5.739,4.204,22.7,6,17.7,0,0.392,00:00-01:59,0,65.8
3.124,2.463,27.4,4,28.8,0,0.516,00:00-01:59,1,38.6
3.685,2.094,30.2,10,12.5,0,0.606,16:00-17:59,1,66.4
5.883,3.331,21.7,4,25.0,0,0.524,20:00-21:59,1,46.7
1.029,3.542,15.6,7,19.5,0,0.433,16:00-17:59,1,31.9
1.155,0.941,22.9,5,21.0,0,0.583,06:00-07:59,1,42.5
2.056,2.896,27.5,6,19.3,0,0.318,16:00-17:59,0,56.3
3.274,2.789,23.0,5,25.2,0,0.559,04:00-05:59,1,41.7
2.371,4.045,14.0,3,22.5,0,0.376,12:00-13:59,1,34.3
1.373,5.056,15.1,8,18.0,0,0.19,10:00-11:59,0,45.5
3.696,3.734,5.0,6,16.2,0,0.255,14:00-15:59,0,50.6
2.426,2.53,21.5,2,21.9,1,0.402,20:00-21:59,1,42.5
6.573,3.464,25.0,7,16.2,0,0.478,16:00-17:59,1,61.9
3.055,4.163,26.3,8,16.0,0,0.613,08:00-09:59,0,67.7
2.872,3.792,30.3,4,14.5,1,0.309,00:00-01:59,0,84.2
1.511,2.184,15.8,3,27.2,0,0.597,04:00-05:59,1,26.9
3.397,5.255,31.4,9,13.3,0,0.289,18:00-19:59,0,78.9
1.077,2.061,22.5,3,30.4,0,0.297,22:00-23:59,1,37.7
6.057,1.562,30.9,2,28.0,0,0.524,14:00-15:59,1,50.4
3.586,3.742,34.2,4,21.4,0,0.536,20:00-21:59,1,63.5
3.877,3.798,26.9,9,21.7,0,0.609,10:00-11:59,0,63.7
2.093,3.977,25.0,6,19.7,0,0.342,14:00-15:59,0,53.2
1.219,1.95,27.2,7,11.0,0,0.488,16:00-17:59,1,50.3
0.905,2.778,28.8,3,23.2,1,0.22,06:00-07:59,1,46.2
1.638,3.723,27.7,4,29.0,0,0.238,00:00-01:59,1,47.5
1.726,4.09,23.9,5,12.0,0,0.496,00:00-01:59,0,58.5
3.344,2.225,40.9,7,18.6,1,0.655,18:00-19:59,0,74.3
1.915,4.301,17.7,1,34.3,0,0.333,06:00-07:59,1,35.3
2.884,1.537,29.7,3,30.0,0,0.546,22:00-23:59,1,47.5
2.579,4.188,40.7,1,30.3,1,0.297,12:00-13:59,1,68.0
7.339,4.455,26.8,7,20.9,0,0.305,02:00-03:59,1,58.5
5.782,3.125,16.5,5,19.1,0,0.328,04:00-05:59,1,52.4
2.675,3.095,31.6,4,23.3,1,0.341,00:00-01:59,1,53.8
1.749,5.643,25.2,7,18.4,0,0.581,08:00-09:59,0,68.6
3.914,2.469,21.6,5,13.4,0,0.487,00:00-01:59,0,51.7
1.581,2.749,25.7,2,29.9,1,0.62,14:00-15:59,0,50.8
8.653,2.237,26.3,2,23.2,1,0.698,00:00-01:59,1,67.4
3.449,4.121,35.8,4,24.2,1,0.418,20:00-21:59,0,78.8
1.74,2.992,30.0,3,24.0,0,0.412,00:00-01:59,1,41.6
2.517,2.744,26.3,5,17.9,0,0.445,02:00-03:59,1,44.4
4.032,3.742,20.8,5,21.8,0,0.641,02:00-03:59,0,64.4
2.766,4.004,27.9,4,26.0,0,0.316,22:00-23:59,1,51.2
6.038,1.562,22.3,8,18.3,0,0.685,10:00-11:59,1,49.9
7.848,4.573,14.1,3,26.7,0,0.314,12:00-13:59,1,50.9
1.565,3.274,20.8,5,20.5,0,0.492,08:00-09:59,1,46.8
1.334,2.9,27.2,6,15.7,0,0.431,00:00-01:59,0,53.7
3.841,4.738,32.1,6,16.3,0,0.243,00:00-01:59,0,82.9
4.957,2.294,16.9,5,28.2,0,0.555,04:00-05:59,1,44.4
5.174,2.898,28.1,1,26.9,1,0.478,02:00-03:59,1,50.8
4.493,2.719,20.0,6,23.6,0,0.386,08:00-09:59,1,39.0
4.227,4.244,25.5,4,29.3,0,0.635,22:00-23:59,1,48.1
1.773,1.808,20.1,6,21.0,1,0.535,18:00-19:59,1,43.5
2.594,3.631,25.7,9,19.5,0,0.383,10:00-11:59,1,49.7
8.014,3.689,23.4,4,22.0,0,0.504,12:00-13:59,0,68.9
4.142,3.653,20.0,7,19.0,0,0.379,06:00-07:59,1,56.3
4.866,1.757,24.0,4,29.0,1,0.612,12:00-13:59,1,50.4
1.8,3.383,30.9,6,25.1,0,0.407,20:00-21:59,0,47.5
3.314,3.828,29.0,5,22.4,0,0.309,14:00-15:59,1,52.9
5.089,2.229,37.6,2,34.4,1,0.472,20:00-21:59,1,64.7
2.115,2.644,37.2,2,29.3,1,0.533,00:00-01:59,1,55.6
1.111,4.063,12.5,7,15.8,0,0.466,10:00-11:59,1,35.4
6.145,3.739,23.2,1,32.4,1,0.334,14:00-15:59,1,44.5
2.421,4.069,23.4,4,27.0,1,0.353,08:00-09:59,1,55.3
1.246,4.761,19.8,3,32.7,0,0.251,06:00-07:59,1,25.5
5.573,4.446,22.5,6,17.9,0,0.59,02:00-03:59,0,70.4
1.488,3.018,34.2,6,20.9,0,0.396,10:00-11:59,1,50.9
0.761,4.482,21.2,7,14.1,0,0.404,10:00-11:59,1,56.5
3.989,3.988,24.5,4,22.3,1,0.276,20:00-21:59,0,57.4
4.955,3.031,26.1,5,21.9,0,0.693,00:00-01:59,1,48.8
5.716,3.697,28.6,7,28.5,1,0.468,16:00-17:59,1,62.0
7.107,2.667,24.1,5,24.7,0,0.347,22:00-23:59,1,50.5
2.064,3.276,24.2,5,22.2,0,0.501,20:00-21:59,1,45.5
2.72,1.951,24.0,6,25.3,0,0.58,10:00-11:59,1,36.1
1.582,4.295,18.1,2,30.9,0,0.343,04:00-05:59,0,36.1
2.047,3.255,29.9,3,27.4,1,0.364,06:00-07:59,1,56.0
2.631,3.107,21.8,6,21.8,0,0.539,22:00-23:59,0,41.2
3.101,2.657,29.3,6,12.0,0,0.341,20:00-21:59,0,81.0
3.958,1.939,16.2,4,24.2,0,0.344,06:00-07:59,1,42.3
1.502,3.207,26.4,5,18.4,1,0.677,04:00-05:59,1,60.2
3.167,4.603,32.6,7,19.1,1,0.571,18:00-19:59,1,72.6
2.591,2.479,27.8,3,27.5,0,0.512,04:00-05:59,1,45.9
3.111,2.233,10.4,5,30.7,0,0.533,04:00-05:59,1,25.2
1.887,3.023,19.2,3,26.4,0,0.594,06:00-07:59,0,40.5
1.392,4.459,19.5,4,18.1,0,0.299,12:00-13:59,1,49.5
6.885,4.322,17.3,3,31.9,0,0.351,06:00-07:59,1,45.4
1.468,3.847,16.5,8,5.0,0,0.418,16:00-17:59,0,95.6
5.423,2.504,28.5,5,19.1,0,0.393,00:00-01:59,1,56.9
1.909,4.258,22.2,6,13.2,0,0.626,14:00-15:59,0,54.8
2.859,3.197,34.0,4,33.5,0,0.58,12:00-13:59,1,55.4
0.82,3.362,32.0,4,17.1,0,0.856,02:00-03:59,1,45.2
0.883,3.466,16.2,2,30.2,0,0.423,14:00-15:59,1,27.3
2.305,3.978,30.3,3,20.5,0,0.509,00:00-01:59,0,49.8
8.543,3.698,22.3,1,34.8,0,0.335,20:00-21:59,1,51.7
4.465,3.057,20.7,4,23.6,0,0.379,22:00-23:59,1,44.4
2.283,3.634,29.2,8,14.8,0,0.47,16:00-17:59,1,61.3
2.203,1.983,41.0,3,27.8,1,0.498,16:00-17:59,1,55.6
5.743,3.129,16.5,5,18.8,0,0.517,02:00-03:59,1,57.9
2.248,4.158,26.1,5,28.2,1,0.217,12:00-13:59,1,54.2
1.422,4.418,32.9,8,19.5,0,0.688,18:00-19:59,0,50.8
1.681,3.046,25.2,6,20.9,0,0.327,04:00-05:59,1,45.7
3.175,3.338,25.8,4,27.2,0,0.203,12:00-13:59,1,48.5
2.831,4.189,24.1,3,26.5,0,0.405,22:00-23:59,0,51.5
0.939,4.682,20.9,8,11.2,0,0.286,18:00-19:59,0,64.8
1.738,4.07,9.6,10,10.7,0,0.331,16:00-17:59,0,49.2
1.333,1.918,29.5,3,33.0,0,0.485,06:00-07:59,1,45.1
3.793,1.498,26.3,4,27.2,1,0.428,22:00-23:59,1,50.5
1.689,2.585,30.5,5,22.7,0,0.572,00:00-01:59,1,54.6
5.506,2.377,36.7,5,24.6,0,0.697,02:00-03:59,1,63.0
2.01,2.903,24.9,2,23.8,0,0.407,00:00-01:59,1,45.4
4.999,3.122,21.8,6,19.0,0,0.562,22:00-23:59,1,53.1
1.48,3.964,27.8,7,17.8,0,0.316,08:00-09:59,0,54.1
0.722,2.218,24.0,10,12.3,0,0.84,08:00-09:59,0,50.8
3.178,3.336,9.7,4,26.1,0,0.197,20:00-21:59,1,40.4
3.086,2.775,21.1,4,23.1,0,0.378,12:00-13:59,1,48.6
1.682,3.233,12.5,8,18.4,0,0.684,16:00-17:59,1,24.3
0.698,2.734,32.1,9,22.2,0,0.575,16:00-17:59,1,47.8
1.267,4.313,25.0,3,24.8,1,0.316,04:00-05:59,0,49.3
1.027,5.468,32.0,4,23.1,1,0.273,04:00-05:59,0,62.6
6.877,2.418,31.2,2,27.7,1,0.444,04:00-05:59,1,55.7
5.494,3.672,19.8,3,25.3,0,0.313,06:00-07:59,1,46.1
3.792,0.911,30.1,5,27.2,0,0.665,14:00-15:59,1,51.7
2.198,3.863,13.1,7,19.8,0,0.175,10:00-11:59,1,36.7
8.11,4.114,23.5,7,18.6,0,0.516,14:00-15:59,0,75.5
11.197,3.298,23.6,3,22.3,0,0.252,00:00-01:59,1,64.2
1.531,3.527,24.6,5,18.7,1,0.389,14:00-15:59,0,50.7
2.766,3.235,22.2,5,25.7,0,0.554,06:00-07:59,1,48.0
2.452,1.916,24.5,4,28.8,0,0.776,20:00-21:59,1,41.3
3.793,2.932,18.1,4,29.0,0,0.405,00:00-01:59,1,53.6
3.705,3.356,25.9,5,16.2,0,0.294,14:00-15:59,1,57.2
0.984,1.587,15.4,3,27.6,0,0.475,06:00-07:59,1,20.7
1.265,3.56,36.8,7,19.4,0,0.462,10:00-11:59,1,64.5
1.282,1.581,17.0,2,30.3,0,0.7,14:00-15:59,1,32.5
2.418,1.275,33.1,3,26.2,0,0.581,06:00-07:59,1,52.7
2.319,1.228,21.1,3,22.6,0,0.528,04:00-05:59,1,37.8
0.902,2.937,18.6,6,19.4,0,0.576,16:00-17:59,1,37.2
1.82,2.56,39.2,1,26.2,1,0.402,04:00-05:59,1,62.2
1.582,1.256,34.6,5,28.0,0,0.819,16:00-17:59,1,44.2
3.537,3.577,13.3,5,27.2,0,0.299,02:00-03:59,1,32.6
7.179,4.934,25.4,4,27.8,1,0.325,02:00-03:59,0,61.1
1.258,3.504,15.0,6,15.8,0,0.416,02:00-03:59,0,42.3
3.191,2.808,25.4,8,15.5,0,0.607,10:00-11:59,1,46.6
3.864,4.654,20.6,4,17.6,0,0.245,04:00-05:59,0,62.1
2.414,2.243,14.9,6,23.3,0,0.347,16:00-17:59,1,30.0
2.546,3.414,21.0,4,22.8,0,0.588,06:00-07:59,1,39.8
3.49,3.177,23.4,3,20.3,0,0.337,00:00-01:59,1,49.4
2.35,2.565,20.5,5,24.8,0,0.399,06:00-07:59,1,37.3
2.49,1.975,35.4,2,32.9,0,0.636,00:00-01:59,1,49.1
1.243,2.167,30.0,6,20.2,1,0.593,08:00-09:59,1,52.5
4.028,1.123,20.9,6,26.0,0,0.613,06:00-07:59,1,36.3
7.209,2.257,17.3,4,21.5,0,0.23,14:00-15:59,1,55.1
4.013,5.899,21.8,6,11.8,0,0.313,14:00-15:59,0,80.7
1.669,2.178,29.5,3,26.9,0,0.52,12:00-13:59,1,49.3
1.44,3.614,37.4,2,28.2,1,0.49,04:00-05:59,1,51.3
1.501,1.774,29.2,2,27.7,1,0.402,00:00-01:59,1,42.5
2.132,2.899,32.5,6,17.8,0,0.627,00:00-01:59,1,54.2
5.306,4.582,29.9,5,19.2,1,0.587,22:00-23:59,1,71.0
1.362,2.762,15.2,3,29.1,0,0.453,20:00-21:59,1,26.5
4.803,2.503,30.5,5,22.7,1,0.399,04:00-05:59,1,57.3
3.774,2.87,45.7,8,19.8,0,0.726,10:00-11:59,1,74.6
1.647,3.376,13.1,4,21.3,0,0.325,12:00-13:59,1,34.2
0.911,0.689,21.8,9,15.9,0,0.727,10:00-11:59,1,41.3
2.971,4.358,20.2,7,17.8,0,0.436,10:00-11:59,0,66.1
2.54,4.456,29.9,7,5.0,0,0.618,10:00-11:59,0,143.8
1.334,3.209,25.5,2,35.0,1,0.231,04:00-05:59,1,35.7
2.326,3.137,25.2,7,15.8,1,0.607,10:00-11:59,1,48.4
2.077,0.765,17.1,3,25.1,0,0.583,14:00-15:59,1,26.8
6.957,3.305,27.1,4,19.9,0,0.422,20:00-21:59,1,61.5
6.622,3.485,30.8,3,27.5,1,0.354,20:00-21:59,1,63.7
12.196,2.234,28.5,4,20.1,0,0.663,02:00-03:59,0,91.4
0.466,2.903,8.0,7,25.3,0,0.641,08:00-09:59,1,10.8
1.982,4.81,32.7,3,31.3,0,0.422,00:00-01:59,1,48.3
2.417,3.424,21.1,6,21.9,0,0.401,22:00-23:59,1,49.7
1.431,4.86,17.7,6,18.4,0,0.335,00:00-01:59,0,43.9
2.322,4.136,17.6,7,17.9,0,0.446,08:00-09:59,1,41.7
1.876,1.567,27.8,4,20.7,0,0.582,22:00-23:59,1,46.3
6.664,1.586,16.4,2,33.1,0,0.209,04:00-05:59,1,38.6
1.663,1.825,26.2,2,30.3,1,0.64,06:00-07:59,1,45.7
3.033,3.12,36.7,4,27.8,0,0.494,04:00-05:59,1,57.1
1.134,3.204,27.5,4,23.0,0,0.658,00:00-01:59,1,41.9
1.767,4.108,22.7,5,15.4,0,0.376,00:00-01:59,0,63.6
